Call  | Code | PC      | Cyc   | SP      | regA | regB | regC | regD | regE | regH | regL |flgZ|flgS|flgP|flgC|flgAC|
40071 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x00 | 0x01 | 0x00 | 0x1e | 0xd7 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40072 | 0xc5 | 0x01439 |     0 | 0x 23f4 | 0x00 | 0x01 | 0x00 | 0x1e | 0xd7 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40073 | 0x1a | 0x0143a |     0 | 0x 23f2 | 0x00 | 0x01 | 0x00 | 0x1e | 0xd7 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40074 | 0x77 | 0x0143b |     0 | 0x 23f2 | 0x00 | 0x01 | 0x00 | 0x1e | 0xd7 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40075 | 0x13 | 0x0143c |     0 | 0x 23f2 | 0x00 | 0x01 | 0x00 | 0x1e | 0xd7 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40076 | 0x01 | 0x0143d |     0 | 0x 23f2 | 0x00 | 0x01 | 0x00 | 0x1e | 0xd8 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40077 | 0x09 | 0x01440 |     0 | 0x 23f2 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd8 | 0x27 | 0xfc |  0 |  0 |  0 |  0 |   0 | 
40078 | 0xc1 | 0x01441 |     0 | 0x 23f2 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd8 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40079 | 0x05 | 0x01442 |     0 | 0x 23f4 | 0x00 | 0x01 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40080 | 0xc2 | 0x01443 |     0 | 0x 23f4 | 0x00 | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  1 |  0 |  1 |  0 |   0 | 
40081 | 0xc9 | 0x01446 |     0 | 0x 23f4 | 0x00 | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  1 |  0 |  1 |  0 |   0 | 
40082 | 0xf1 | 0x009bd |     0 | 0x 23f6 | 0x00 | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  1 |  0 |  1 |  0 |   0 | 
40083 | 0xe6 | 0x009be |     0 | 0x 23f8 | 0x00 | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  1 |  0 |  1 |  0 |   0 | 
40084 | 0xcd | 0x009c0 |     0 | 0x 23f8 | 0x00 | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  1 |  0 |  1 |  0 |   0 | 
40085 | 0xc6 | 0x009c5 |     0 | 0x 23f6 | 0x00 | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  1 |  0 |  1 |  0 |   0 | 
40086 | 0xc3 | 0x009c7 |     0 | 0x 23f6 | 0x1a | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40087 | 0x11 | 0x008ff |     0 | 0x 23f6 | 0x1a | 0x00 | 0x00 | 0x1e | 0xd8 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40088 | 0xe5 | 0x00902 |     0 | 0x 23f6 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40089 | 0x26 | 0x00903 |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40090 | 0x6f | 0x00905 |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40091 | 0x29 | 0x00906 |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x1a |  0 |  0 |  0 |  0 |   0 | 
40092 | 0x29 | 0x00907 |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x34 |  0 |  0 |  0 |  0 |   0 | 
40093 | 0x29 | 0x00908 |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0x68 |  0 |  0 |  0 |  0 |   0 | 
40094 | 0x19 | 0x00909 |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x00 | 0xd0 |  0 |  0 |  0 |  0 |   0 | 
40095 | 0xeb | 0x0090a |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0x00 | 0x1e | 0xd0 |  0 |  0 |  0 |  0 |   0 | 
40096 | 0xe1 | 0x0090b |     0 | 0x 23f4 | 0x1a | 0x00 | 0x00 | 0x1e | 0xd0 | 0x1e | 0x00 |  0 |  0 |  0 |  0 |   0 | 
40097 | 0x06 | 0x0090c |     0 | 0x 23f6 | 0x1a | 0x00 | 0x00 | 0x1e | 0xd0 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40098 | 0xc3 | 0x00910 |     0 | 0x 23f6 | 0x1a | 0x08 | 0x00 | 0x1e | 0xd0 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40099 | 0xc5 | 0x01439 |     0 | 0x 23f6 | 0x1a | 0x08 | 0x00 | 0x1e | 0xd0 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40100 | 0x1a | 0x0143a |     0 | 0x 23f4 | 0x1a | 0x08 | 0x00 | 0x1e | 0xd0 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40101 | 0x77 | 0x0143b |     0 | 0x 23f4 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd0 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40102 | 0x13 | 0x0143c |     0 | 0x 23f4 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd0 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40103 | 0x01 | 0x0143d |     0 | 0x 23f4 | 0x00 | 0x08 | 0x00 | 0x1e | 0xd1 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40104 | 0x09 | 0x01440 |     0 | 0x 23f4 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd1 | 0x28 | 0x1c |  0 |  0 |  0 |  0 |   0 | 
40105 | 0xc1 | 0x01441 |     0 | 0x 23f4 | 0x00 | 0x00 | 0x20 | 0x1e | 0xd1 | 0x28 | 0x3c |  0 |  0 |  0 |  0 |   0 | 
